"natmass","age","sex","sei10","region","polviews","age_cent","obs_num","About right.x","Too little.x","Too much.x","preds","About right.y","Too little.y","Too much.y"
"Too little",47,"Male",87.9,"New england","Moderate",-2,1,-0.382369131150469,0.484809290917024,-0.102440159766555,"Too little",0.382369131150469,0.515190709082976,0.102440159766555
"Too little",61,"Male",38.3,"New england","Liberal",12,2,-0.2714565226347,0.424333578174871,-0.152877055540171,"Too little",0.2714565226347,0.575666421825129,0.152877055540171
"Too much",43,"Female",21.8,"New england","Moderate",-6,3,-0.524565811282252,-0.325398182801796,0.849963994084048,"About right",0.524565811282252,0.325398182801796,0.150036005915953
"Too little",55,"Female",39.7,"New england","Slightly liberal",6,4,-0.41548598597124,0.534641561727083,-0.119155575755843,"Too little",0.41548598597124,0.465358438272917,0.119155575755843
"About right",53,"Female",44.6,"New england","Slightly liberal",4,5,0.586163606620863,-0.476316032905742,-0.10984757371512,"Too little",0.413836393379137,0.476316032905742,0.10984757371512
"Too little",50,"Male",80.7,"New england","Slightly liberal",1,6,-0.314205338883301,0.409456987322653,-0.0952516484393524,"Too little",0.314205338883301,0.590543012677347,0.0952516484393524
"Too much",23,"Female",20.1,"Middle atlantic","Slghtly conservative",-26,7,-0.701267323715546,-0.225949334898041,0.927216658613587,"About right",0.701267323715546,0.225949334898041,0.0727833413864127
"Too much",71,"Male",32,"Middle atlantic","Conservative",22,8,-0.532287781015822,-0.238113135213204,0.770400916229026,"About right",0.532287781015822,0.238113135213204,0.229599083770974
"About right",86,"Female",13.2,"Middle atlantic","Slghtly conservative",37,9,0.419574883509641,-0.260654873322561,-0.158920010187079,"About right",0.580425116490359,0.260654873322561,0.158920010187079
"Too little",32,"Male",20.8,"Middle atlantic","Slightly liberal",-17,10,-0.570565990736427,0.657778065539655,-0.087212074803228,"About right",0.570565990736427,0.342221934460345,0.087212074803228
"About right",60,"Female",24.2,"Middle atlantic","Liberal",11,11,0.502384971695457,-0.435453581559312,-0.0669313901361456,"About right",0.497615028304543,0.435453581559312,0.0669313901361456
"Too much",76,"Male",67.7,"New england","Moderate",27,12,-0.349133833054695,-0.477705989433352,0.826839822488048,"Too little",0.349133833054695,0.477705989433352,0.173160177511953
"Too little",33,"Female",61.4,"New england","Moderate",-16,13,-0.507557996108577,0.59241094040309,-0.0848529442945128,"About right",0.507557996108577,0.40758905959691,0.0848529442945128
"About right",56,"Male",23.3,"New england","Conservative",7,14,0.631430573607265,-0.24235824000034,-0.389072333606925,"Too much",0.368569426392735,0.24235824000034,0.389072333606925
"Too little",62,"Female",25.7,"New england","Slightly liberal",13,15,-0.415156489876055,0.566424906762952,-0.151268416886897,"Too little",0.415156489876055,0.433575093237048,0.151268416886897
"Too little",31,"Male",80.9,"New england","Liberal",-18,16,-0.268321557232338,0.332715521245281,-0.0643939640129428,"Too little",0.268321557232338,0.667284478754719,0.0643939640129428
"About right",43,"Male",39.2,"New england","Liberal",-6,17,0.700916486795537,-0.571884820617528,-0.129031666178009,"Too little",0.299083513204463,0.571884820617528,0.129031666178009
"Too little",58,"Female",24.2,"New england","Liberal",9,18,-0.349838916309675,0.477039112261154,-0.127200195951479,"Too little",0.349838916309675,0.522960887738846,0.127200195951479
"About right",32,"Female",33.3,"Middle atlantic","Slghtly conservative",-17,19,0.325406591394789,-0.255568809756819,-0.0698377816379695,"About right",0.674593408605211,0.255568809756819,0.0698377816379695
